CÓDIGO;DESCRIÇÃO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRODUTO;PRODUTO;;0191;0192;0280;0580;0680;0791;0792;1091;1092;1093;1100;1200;1300;1400;1500;1600;1700;1800;1991;1992;2091;2092;2093;2100;2200;2300;2491;2492;2500;2600;2700;2800;2991;2992;3000;3180;3300;3500;3680;4180;4500;4680;4900;5000;5100;5280;5500;5600;5800;5980;6100;6280;6480;6800;6980;7180;7380;7700;7880;8000;8400;8591;8592;8691;8692;9080;9480;9700;;;;;;;;;;;;;;;;
Valores correntes em  1 000 000 R$;;;Agricultura, inclusive o apoio à agricultura e a pós-colheita;Pecuária, inclusive o apoio à pecuária;"Produção florestal; pesca e aquicultura";Extração de carvão mineral e de minerais não-metálicos;Extração de petróleo e gás, inclusive as atividades de apoio;Extração de minério de ferro, inclusive beneficiamentos e a aglomeração;Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;Fabricação e refino de açúcar;Outros produtos alimentares;Fabricação de bebidas;Fabricação de produtos do fumo;Fabricação de produtos têxteis;Confecção de artefatos do vestuário e acessórios;Fabricação de calçados e de artefatos de couro;Fabricação de produtos da madeira;Fabricação de celulose, papel e produtos de papel;Impressão e reprodução de gravações;Refino de petróleo e coquerias;Fabricação de biocombustíveis;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal;Fabricação de produtos farmoquímicos e farmacêuticos;Fabricação de produtos de borracha e de material plástico;Fabricação de produtos de minerais não-metálicos;Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura;Metalurgia de metais não-ferosos e a fundição de metais;Fabricação de produtos de metal, exceto máquinas e equipamentos;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;Fabricação de máquinas e equipamentos elétricos;Fabricação de máquinas e equipamentos mecânicos;Fabricação de automóveis, caminhões e ônibus, exceto peças;Fabricação de peças e acessórios para veículos automotores;Fabricação de outros equipamentos de transporte, exceto veículos automotores;Fabricação de móveis e de produtos de indústrias diversas;Manutenção, reparação e instalação de máquinas e equipamentos;Energia elétrica, gás natural e outras utilidades;Água, esgoto e gestão de resíduos;Construção;Comércio e reparação de veículos automotores e motocicletas;Comércio por atacado e a varejo, exceto veículos automotores;Transporte terrestre;Transporte aquaviário;Transporte aéreo;Armazenamento, atividades auxiliares dos transportes e correio;Alojamento;Alimentação;Edição e edição integrada à impressão;Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem;Telecomunicações;Desenvolvimento de sistemas e outros serviços de informação;Intermediação financeira, seguros e previdência complementar;Atividades imobiliárias;Atividades jurídicas, contábeis, consultoria e sedes de empresas ;Serviços de arquitetura, engenharia, testes/análises técnicas e P & D;Outras atividades profissionais, científicas e técnicas;Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual;Outras atividades administrativas e serviços complementares;Atividades de vigilância, segurança e investigação;Administração pública, defesa e seguridade social;Educação pública;Educação privada;Saúde pública;Saúde privada;Atividades artísticas, criativas e de espetáculos;Organizações associativas e outros serviços pessoais;Serviços domésticos;Consumo Intermediário total;"Exportação
de bens e
serviços";"Consumo
do governo";"Consumo
das
 ISFLSF";"Consumo 
das famílias";"Formação bruta
de capital fixo";"Variação
de estoque";P&D;P&D;;"Demanda
final";"Demanda
total";;;;
;;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;;;;76;77;;;;
01911;Agricultura, inclusive o apoio à agricultura e a pós-colheita;1;7.615;4.413;153;2;8;1;2;6.984;30.921;64.809;2.107;4.777;4.557;330;5;92;178;0;10;20.422;14;21;2;8;44;14;30;22;2;0;0;1;1;0;1;8;0;1;25;401;2;10.371;1;0;0;11;263;4.208;0;1;45;2;15;19;7;12;1;1;114;0;1.068;361;44;353;180;3;219;0;165.283;108.365;33;0;71.872;3.072;8.224;;3.977,8;Agricultura (ASTI);191.564;356.847;;0;0;0
01912;Pecuária, inclusive o apoio à pecuária;2;937;5.910;157;4;19;1;3;82.370;166;3.908;72;196;165;129;7;118;197;0;1;152;42;9;5;3;53;55;41;41;2;1;1;2;1;1;1;7;0;1;5;736;3;367;1;0;0;20;330;1.833;0;1;80;4;26;36;6;14;6;1;32;0;253;121;19;105;118;4;35;0;98.938;5.653;4;0;25.707;16.546;735;0;0,0;;48.645;147.583;;0;0;0
01913;"Produção florestal; pesca e aquicultura";3;1.185;1.344;1.983;2;2;0;0;1.746;1;308;17;14;37;11;13;1.985;3.171;0;0;3;139;3;0;0;883;50;618;3;9;0;0;0;0;0;0;3;0;0;0;704;0;278;0;0;0;2;42;527;0;0;6;0;2;3;1;4;0;0;2;0;75;68;9;65;21;0;3;0;15.343;2.264;3;0;17.477;1.033;25;0;0,0;;20.803;36.146;;0;0;0
01914;Extração de carvão mineral e de minerais não-metálicos;4;101;347;12;237;609;1;1;59;11;250;16;0;1;1;1;0;13;0;34;194;2.780;70;7;2;8;4.237;941;261;5;1;35;5;54;40;2;30;4;172;336;5.825;18;71;12;0;0;4;2;14;0;0;1;0;1;339;1;1;0;0;2;0;58;16;1;7;6;1;4;0;17.263;1.517;0;0;186;15;-150;927.703;927,7;Indústrias extrativas;1.569;18.832;;0;0;0
01915;Extração de petróleo e gás, inclusive as atividades de apoio;5;15;11;1;3;6.318;157;28;44;1;426;81;0;68;1;1;25;362;1;69.121;1;1.025;46;18;19;58;335;206;161;204;1;17;28;44;90;1;2;14;7.940;309;420;9;134;56;1;1;31;3;37;1;1;56;4;12;6;12;59;2;5;8;1;538;7;11;2;6;10;15;0;88.631;52.933;0;0;499;9.064;-4.932;;;Indústrias extrativas;57.563;146.194;;0;0;0
01916;Extração de minério de ferro, inclusive beneficiamentos e a aglomeração;6;0;0;0;0;0;1.156;29;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;98;13.081;13;0;0;1;1;2;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;14.404;53.633;0;0;6;236;3.311;;;Indústrias extrativas;57.186;71.590;;0;0;0
01917;Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos;7;2;2;0;15;57;10;845;12;0;28;1;0;1;0;1;4;8;5;2;2;24;23;8;7;11;48;1.418;5.268;33;2;83;13;7;47;13;31;7;0;5;62;0;14;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;1;2;0;6;0;0;0;0;8.135;8.955;0;0;9;19;-444;;;Indústrias extrativas;8.538;16.673;;0;0;0
01918;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;8;51;1.863;24;10;6;4;1;18.682;1;2.215;30;2;5;7;1.597;4;9;3;20;593;15;29;1.556;13;19;8;7;5;60;10;8;12;8;6;2;9;7;5;2;37;3;381;11;0;1;2;419;16.308;1;1;5;3;5;2;4;9;4;1;6;1;1.634;1.290;207;1.271;715;5;165;0;49.402;41.984;124;0;180.862;397;-427;0;0,0;;222.940;272.342;;0;0;0
01919;Fabricação e refino de açúcar;9;67;102;3;2;219;17;4;380;1.342;4.241;911;3;6;9;7;5;10;2;7.373;740;118;449;453;266;11;8;9;5;19;12;11;85;16;6;5;9;55;7;3;137;48;139;212;2;4;15;5;1.041;2;2;9;6;19;4;19;24;11;11;25;19;282;102;11;81;62;3;47;0;19.333;25.712;3;0;17.124;318;169;0;0,0;;43.326;62.659;;0;0;0
01921;Outros produtos alimentares;10;1.771;11.970;820;171;143;42;19;20.177;33;24.088;2.047;13;58;46;67;49;591;26;2.036;2.215;461;755;966;200;174;80;72;30;65;56;50;91;40;31;14;73;65;30;29;277;103;2.888;132;2;33;33;229;11.299;9;8;42;21;166;34;58;28;54;12;57;8;1.179;1.161;166;1.578;660;52;632;0;90.589;30.094;89;0;167.846;548;1.221;1.205.753;1.205,8;   Fabricação de produtos alimentícios;199.798;290.387;;0;0;0
01922;Fabricação de bebidas;11;21;14;1;4;16;10;3;369;2;101;6.429;3;6;9;7;4;10;2;65;3;14;13;11;8;12;8;12;5;25;14;13;53;16;10;8;11;35;12;3;98;8;84;22;1;8;5;408;23.106;2;2;7;5;94;6;10;3;5;2;14;1;77;69;15;73;173;27;17;0;31.703;2.699;3;0;39.340;169;959;100.270;100,3;   Fabricação de bebidas;43.169;74.872;;0;0;0
01923;Fabricação de produtos do fumo;12;1;1;0;0;0;0;0;3;0;3;1;297;0;1;1;0;1;0;2;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;3;0;3;1;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;2;0;0;0;342;5.872;0;0;7.620;60;1.059;0;0,0;   Fabricação de produtos do fumo;14.611;14.953;;0;0;0
01924;Fabricação de produtos têxteis;13;536;12;2;125;100;2;4;20;83;216;18;1;8.036;13.523;2.672;9;87;5;3;1;33;42;19;91;543;36;5;5;57;9;45;19;119;1.329;72;1.214;10;25;9;454;52;182;64;9;2;7;190;148;2;6;5;4;15;7;13;7;5;5;18;2;41;39;9;32;79;9;556;0;31.096;1.800;0;0;16.714;98;1.121;54.080;54,1;   Fabricação de produtos têxteis;19.734;50.830;;0;0;0
